relationship_id,module,source_node_id,target_node_id,relationship_type,value,units,reference_year,release_year,estimate_period,origin_geography,destination_geography,geographic_scale,source_product,observed_estimated_modeled,source_id,evidence_strength,relationship_basis,confidence,reality_status,canon_status,notes
REL-0034,11A,POP-ZONE-39051,MUNI-3981928,contains_settlement,,,2020,2021,2020-04-01 geography,39051,1600000US3981928,county/place,2020 Census TIGER/PL geography,observed,s11a_decennial_oh_pl,high,point-in-county geographic containment,high,real,verified,Containment does not mean municipal residents equal county total.
REL-0035,11A,POP-ZONE-18003,EMP-18003,employment_concentration,204663,jobs,2023,2025,2023,18003,18003,county,LODES 8.4 WAC 2023,modeled,s11b_lodes_in_wac,high,aggregated workplace job concentration,high,real,verified,Jobs are not resident population or commuter flows.
REL-0036,11A,POP-ZONE-39095,EMP-39095,employment_concentration,202605,jobs,2023,2025,2023,39095,39095,county,LODES 8.4 WAC 2023,modeled,s11b_lodes_oh_wac,high,aggregated workplace job concentration,high,real,verified,Jobs are not resident population or commuter flows.
REL-0037,11A,POP-ZONE-39173,EMP-39173,employment_concentration,73615,jobs,2023,2025,2023,39173,39173,county,LODES 8.4 WAC 2023,modeled,s11b_lodes_oh_wac,high,aggregated workplace job concentration,high,real,verified,Jobs are not resident population or commuter flows.
REL-0038,11A,POP-ZONE-39063,EMP-39063,employment_concentration,44531,jobs,2023,2025,2023,39063,39063,county,LODES 8.4 WAC 2023,modeled,s11b_lodes_oh_wac,high,aggregated workplace job concentration,high,real,verified,Jobs are not resident population or commuter flows.
REL-0039,11A,POP-ZONE-26115,EMP-26115,employment_concentration,38727,jobs,2021,2025,2021,26115,26115,county,LODES 8.4 WAC 2021,modeled,s11b_lodes_mi_wac,high,aggregated workplace job concentration,high,real,verified,Jobs are not resident population or commuter flows.
REL-0040,11A,POP-ZONE-39143,EMP-39143,employment_concentration,26036,jobs,2023,2025,2023,39143,39143,county,LODES 8.4 WAC 2023,modeled,s11b_lodes_oh_wac,high,aggregated workplace job concentration,high,real,verified,Jobs are not resident population or commuter flows.
REL-0041,11A,POP-ZONE-26091,EMP-26091,employment_concentration,24864,jobs,2021,2025,2021,26091,26091,county,LODES 8.4 WAC 2021,modeled,s11b_lodes_mi_wac,high,aggregated workplace job concentration,high,real,verified,Jobs are not resident population or commuter flows.
REL-0042,11A,POP-ZONE-18033,EMP-18033,employment_concentration,21740,jobs,2023,2025,2023,18033,18033,county,LODES 8.4 WAC 2023,modeled,s11b_lodes_in_wac,high,aggregated workplace job concentration,high,real,verified,Jobs are not resident population or commuter flows.
REL-0043,11A,POP-ZONE-39147,EMP-39147,employment_concentration,18247,jobs,2023,2025,2023,39147,39147,county,LODES 8.4 WAC 2023,modeled,s11b_lodes_oh_wac,high,aggregated workplace job concentration,high,real,verified,Jobs are not resident population or commuter flows.
REL-0044,11A,POP-ZONE-39051,EMP-39051,employment_concentration,17586,jobs,2023,2025,2023,39051,39051,county,LODES 8.4 WAC 2023,modeled,s11b_lodes_oh_wac,high,aggregated workplace job concentration,high,real,verified,Jobs are not resident population or commuter flows.
